location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm
Global,2015.0,40 and above,Female,58800362.460294805,1601940.3883868216,2.724371621805118
Global,2015.0,40 and above,Male,86648818.17246552,1242643.8269725034,1.434115147997921
Global,2015.0,Under 40,Female,813814.1706030532,70977.14364293788,8.721541871204128
Global,2015.0,Under 40,Male,1036842.2340555695,57393.622593872584,5.535424841769763
Global,2016.0,40 and above,Female,60169100.20292648,1649819.62763981,2.7419715802224456
Global,2016.0,40 and above,Male,87969458.79263316,1262159.5545458521,1.4347701712262315
Global,2016.0,Under 40,Female,826620.2291492545,72605.69002971328,8.783439779164128
Global,2016.0,Under 40,Male,1045660.5324094543,58360.727350603986,5.581230766750542
Global,2017.0,40 and above,Female,62046142.51821549,1708526.7201727442,2.753638906191719
Global,2017.0,40 and above,Male,89322837.59046736,1285186.3242863503,1.4388104531326564
Global,2017.0,Under 40,Female,838995.0103844943,74029.84115494112,8.82363306559055
Global,2017.0,Under 40,Male,1050028.358642872,59027.09150407049,5.621475936170059
Global,2018.0,40 and above,Female,63967676.942100346,1765240.4892075555,2.759581985141252
Global,2018.0,40 and above,Male,91754137.25907485,1324198.7906362566,1.4432033586641217
Global,2018.0,Under 40,Female,817869.4584417301,73560.91612284814,8.994212384822664
Global,2018.0,Under 40,Male,1039567.1883510458,58952.181752843695,5.67083901968407
Global,2019.0,40 and above,Female,65003226.177370824,1803222.2653593554,2.774050414727108
Global,2019.0,40 and above,Male,93464969.26396126,1352279.2350811705,1.4468300216973267
Global,2019.0,Under 40,Female,816522.5151331116,74860.21847086198,9.168175657551595
Global,2019.0,Under 40,Male,1036859.738794531,59751.44368076358,5.762731587035246
Global,2020.0,40 and above,Female,65324999.89882388,1821158.6151692725,2.7878432728509823
Global,2020.0,40 and above,Male,94345821.080915,1369390.2730366383,1.4514583235882708
Global,2020.0,Under 40,Female,829799.9209183954,76088.5264671368,9.16950273783161
Global,2020.0,Under 40,Male,1026526.9257440056,59634.052845935694,5.809302352465247
Global,2021.0,40 and above,Female,66399186.685405515,1854214.1731969628,2.7925254295389097
Global,2021.0,40 and above,Male,95302628.16309209,1388057.9306934325,1.456473926740025
Global,2021.0,Under 40,Female,846245.9420665733,77914.21996995491,9.207042078061212
Global,2021.0,Under 40,Male,1039181.0054438493,60859.99327632285,5.856534420616037
Japan,2015.0,40 and above,Female,308837.29295773996,2687.4118233753143,0.8701707613215768
Japan,2015.0,40 and above,Male,756711.5636464807,2482.592625910724,0.3280764752619187
Japan,2015.0,Under 40,Female,1523.770739659267,35.628223578514195,2.3381616834617183
Japan,2015.0,Under 40,Male,2828.5063381676046,90.64029546251788,3.204528631929371
Japan,2016.0,40 and above,Female,314000.81143869256,2736.3356776012292,0.8714422313317773
Japan,2016.0,40 and above,Male,777522.9048452738,2507.242848461837,0.322465464726184
Japan,2016.0,Under 40,Female,1417.3472228787007,35.44727361542511,2.5009590482302553
Japan,2016.0,Under 40,Male,2650.3632376550563,74.99902762776296,2.8297641078858056
Japan,2017.0,40 and above,Female,319638.04338464496,2997.4227002567272,0.9377553023779772
Japan,2017.0,40 and above,Male,818856.229167456,2532.141331512938,0.3092290491686686
Japan,2017.0,Under 40,Female,1505.6007751919958,38.82322324730713,2.5785868264019958
Japan,2017.0,Under 40,Male,2343.747604895854,59.386942681588515,2.5338454771126013
Japan,2018.0,40 and above,Female,324565.6646246029,2894.568790434423,0.8918284051340801
Japan,2018.0,40 and above,Male,831486.8152115543,2442.704659143329,0.2937755132679806
Japan,2018.0,Under 40,Female,1443.5063949299824,27.507868613750382,1.9056284551537894
Japan,2018.0,Under 40,Male,2146.068876336352,43.52092015670929,2.027936784163505
Japan,2019.0,40 and above,Female,323370.3964247745,2795.400505219632,0.8644577661177235
Japan,2019.0,40 and above,Male,835457.5353178069,2249.2009036407203,0.2692178607001405
Japan,2019.0,Under 40,Female,1342.7646272006468,23.498458625319287,1.7500057827936777
Japan,2019.0,Under 40,Male,2145.7599393723626,49.14142399326387,2.2901641088349236
Japan,2020.0,40 and above,Female,315172.6715476959,2750.7773541596166,0.8727842235342206
Japan,2020.0,40 and above,Male,828194.3544522359,2218.0025088513703,0.26781183630723343
Japan,2020.0,Under 40,Female,1302.9249704338388,23.154714018454055,1.7771333379806329
Japan,2020.0,Under 40,Male,2089.8933112371624,48.61370205852238,2.3261331952751374
Japan,2021.0,40 and above,Female,325825.83648001857,2874.4981517262354,0.882219219562263
Japan,2021.0,40 and above,Male,851551.1759692024,2265.37086699947,0.26602874036561724
Japan,2021.0,Under 40,Female,1256.9401086107418,22.462426056806915,1.787072104941735
Japan,2021.0,Under 40,Male,1996.3521798454833,46.956735048433664,2.3521268202320944
United States of America,2015.0,40 and above,Female,3719312.502957192,37562.18266154084,1.009922737916631
United States of America,2015.0,40 and above,Male,3738256.4575914172,22965.63315930636,0.6143407607219988
United States of America,2015.0,Under 40,Female,19531.322168784627,2607.31775996942,13.349417604387739
United States of America,2015.0,Under 40,Male,22200.46207621026,2970.874901728922,13.382040840097984
United States of America,2016.0,40 and above,Female,3818480.415588158,37944.000767404126,0.9936937377629481
United States of America,2016.0,40 and above,Male,3850373.4225300644,22665.494673066085,0.5886570518184359
United States of America,2016.0,Under 40,Female,20234.14895955831,2806.079421833917,13.868037778324089
United States of America,2016.0,Under 40,Male,23596.087185423028,3086.5322533953354,13.080695240446918
United States of America,2017.0,40 and above,Female,3894864.339803899,37562.89966948462,0.9644212581580148
United States of America,2017.0,40 and above,Male,3928173.895316051,23467.533083906575,0.5974158402684064
United States of America,2017.0,Under 40,Female,20938.761436703116,2760.3213732318513,13.182830233661011
United States of America,2017.0,Under 40,Male,22789.70130318777,2994.3812708516894,13.139186121903418
United States of America,2018.0,40 and above,Female,3885208.6325620376,36378.93844479342,0.9363445283195493
United States of America,2018.0,40 and above,Male,3955639.520052762,23616.558085917746,0.597035143525989
United States of America,2018.0,Under 40,Female,20236.18150872234,2683.4332100135152,13.260570967190047
United States of America,2018.0,Under 40,Male,22381.650381107942,2953.2967870122307,13.195169867835437
United States of America,2019.0,40 and above,Female,3899267.893261445,36184.5970139815,0.9279843807734842
United States of America,2019.0,40 and above,Male,3951927.4886618345,23765.76195778787,0.6013714073948055
United States of America,2019.0,Under 40,Female,21376.82648542882,3066.9898357998536,14.347264491716857
United States of America,2019.0,Under 40,Male,23109.40883170253,3217.755721834895,13.924007079837683
United States of America,2020.0,40 and above,Female,3945533.4198596557,36025.46986140883,0.913069692429326
United States of America,2020.0,40 and above,Male,3995141.471209031,23561.179586046354,0.5897458139052119
United States of America,2020.0,Under 40,Female,21171.788908325867,3054.344895672896,14.426484738244136
United States of America,2020.0,Under 40,Male,22859.265679598215,3238.224901462365,14.165918305733088
United States of America,2021.0,40 and above,Female,4021159.1256751707,36512.63364886362,0.9080126527629764
United States of America,2021.0,40 and above,Male,4084827.6734875403,23808.667184743957,0.5828560979272992
United States of America,2021.0,Under 40,Female,20902.7502304928,3029.182855487483,14.491790898733173
United States of America,2021.0,Under 40,Male,21962.185314359856,3087.5142045947455,14.058319608914285
